market_name,genres,lengths,response_time,description,row_number,tagged_description
Rattle Poetry Prize,Poetry Poetry Poetry General,Poetry,121 days,"Note: remove identifying information from manuscript for anonymous judging. 
                                                No editorial statement available.",247,"247 Note: remove identifying information from manuscript for anonymous judging. 
                                                No editorial statement available."
Raven Tale Publishing,Novella Novella Novella Horror,Novella,1 days,we intend to revolutionize the horror genre,248,248 we intend to revolutionize the horror genre
Razzle Dazzle Cafe,"Short Story Short Story Short Story General, Fantasy, Horror, Mystery/Crime, Science Fiction, Humor",Short Story,14 days,"We are looking for good stories independent of genre or style, but we have a soft spot for dark fantasy, sci-fi, mystery, horror and humor. If you have a story that mixes some of these genres, even better! If you think your story is a misfit for most markets, send it to us.",249,"249 We are looking for good stories independent of genre or style, but we have a soft spot for dark fantasy, sci-fi, mystery, horror and humor. If you have a story that mixes some of these genres, even better! If you think your story is a misfit for most markets, send it to us."
Reckoning - Fiction,"Flash, Short Story, Novelette, Novella Flash, Short Story, Novelette, Novella Flash, Short Story, Novelette, Novella General, Fantasy, Science Fiction","Flash, Short Story, Novelette, Novella",80 days,"The short version: creative writing and art about environmental justice. The fiction we publish is mostly, but not exclusively, speculative. We appreciate surreal and experimental pieces as well as strong plotting, but prefer writing that doesnÉ??t lean too far into pulp.",252,"252 The short version: creative writing and art about environmental justice. The fiction we publish is mostly, but not exclusively, speculative. We appreciate surreal and experimental pieces as well as strong plotting, but prefer writing that doesnÉ??t lean too far into pulp."
Reckoning - Poetry,"Poetry Poetry Poetry General, Fantasy, Science Fiction",Poetry,64 days,"Note: work may be submitted in English, Spanish, French or Swedish. The short version: creative writing and art about environmental justice. Our interests in poetry tend towards the narrative, preferably with some thematic heft. WeÉ??re open to long poems, short poems, hybrid art/poetry, and all kinds of formalism.",254,"254 Note: work may be submitted in English, Spanish, French or Swedish. The short version: creative writing and art about environmental justice. Our interests in poetry tend towards the narrative, preferably with some thematic heft. WeÉ??re open to long poems, short poems, hybrid art/poetry, and all kinds of formalism."
Red Deer Press - Fiction,"Flash, Short Story, Novelette, Novella Flash, Short Story, Novelette, Novella Flash, Short Story, Novelette, Novella General, Young Adult, Children, Middle Grade","Flash, Short Story, Novelette, Novella",29 days,"Red Deer Press is looking for quality writing for children across the ages, from picture books to young adult fiction and non-fiction.",255,"255 Red Deer Press is looking for quality writing for children across the ages, from picture books to young adult fiction and non-fiction."
Red Hen Press - Fiction,"Novel, Story Collection Novel, Story Collection Novel, Story Collection General, Literary","Novel, Story Collection",63 days,"Red Hen Press is an independent, non-profit press that publishes about twenty books of fiction, non-fiction, and poetry every year. WeÉ??re looking for novels, memoir, creative nonfiction, hybrid works, and story, essay, and poetry collections of exceptional literary merit that demonstrate a high level of mastery.",256,"256 Red Hen Press is an independent, non-profit press that publishes about twenty books of fiction, non-fiction, and poetry every year. WeÉ??re looking for novels, memoir, creative nonfiction, hybrid works, and story, essay, and poetry collections of exceptional literary merit that demonstrate a high level of mastery."
Reed Magazine - Fiction,"Flash, Short Story Flash, Short Story Flash, Short Story General, Literary","Flash, Short Story",135 days,"Note: one submission per reading period. Aesthetically, we are open to most styles and approaches, including experimental and literary.",257,"257 Note: one submission per reading period. Aesthetically, we are open to most styles and approaches, including experimental and literary."
Reed Magazine - Poetry,"Poetry Poetry Poetry General, Literary",Poetry,188 days,"Note: one submission per reading period. Our taste is eclectic and celebrates the wonderful diversity of forms, styles, and levels of diction available to the contemporary poet.",259,"259 Note: one submission per reading period. Our taste is eclectic and celebrates the wonderful diversity of forms, styles, and levels of diction available to the contemporary poet."
Rejection Letters - Fiction,"Flash, Short Story Flash, Short Story Flash, Short Story General","Flash, Short Story",56 days,"Rejection Letters was founded in April 2020 by D.T. Robbins. It was kind of a joke at first. É??LetÉ??s publish fictional rejection letters!É?ù Of course, this was after getting, like, four or five rejection letters in one day. Because rejection letters suck, even if theyÉ??re warranted. We all cope in our own weird ways. But then it became something else, something IÉ??m not too sure how to describe, to be honest. We like the weird, the haunting, the hysterical, the heartbreaking. All that shit. You get it.",260,"260 Rejection Letters was founded in April 2020 by D.T. Robbins. It was kind of a joke at first. É??LetÉ??s publish fictional rejection letters!É?ù Of course, this was after getting, like, four or five rejection letters in one day. Because rejection letters suck, even if theyÉ??re warranted. We all cope in our own weird ways. But then it became something else, something IÉ??m not too sure how to describe, to be honest. We like the weird, the haunting, the hysterical, the heartbreaking. All that shit. You get it."
Rejection Letters - Poetry,Poetry Poetry Poetry General,Poetry,34 days,"Rejection Letters was founded in April 2020 by D.T. Robbins. It was kind of a joke at first. É??LetÉ??s publish fictional rejection letters!É?ù Of course, this was after getting, like, four or five rejection letters in one day. Because rejection letters suck, even if theyÉ??re warranted. We all cope in our own weird ways. But then it became something else, something IÉ??m not too sure how to describe, to be honest. We like the absurd, the heartbreaking, the hysterical. We like poetry that doesn't try too hard but gets under our skin in the best kinds of ways.",261,"261 Rejection Letters was founded in April 2020 by D.T. Robbins. It was kind of a joke at first. É??LetÉ??s publish fictional rejection letters!É?ù Of course, this was after getting, like, four or five rejection letters in one day. Because rejection letters suck, even if theyÉ??re warranted. We all cope in our own weird ways. But then it became something else, something IÉ??m not too sure how to describe, to be honest. We like the absurd, the heartbreaking, the hysterical. We like poetry that doesn't try too hard but gets under our skin in the best kinds of ways."
Remains,"Flash, Short Story, Novelette, Novella Flash, Short Story, Novelette, Novella Flash, Short Story, Novelette, Novella Horror","Flash, Short Story, Novelette, Novella",4 days,"Note: the ""Unknown"" pay status is based on reports from writers they have published that they do pay--to list specific pay they would need to update their guidelines. Remains is a new print magazine made by Andy Cox and Richard Wagner, who worked together on Black Static and other publications. It contains new horror fiction, illustrated by Richard, columns and features.",262,"262 Note: the ""Unknown"" pay status is based on reports from writers they have published that they do pay--to list specific pay they would need to update their guidelines. Remains is a new print magazine made by Andy Cox and Richard Wagner, who worked together on Black Static and other publications. It contains new horror fiction, illustrated by Richard, columns and features."
Rhino - Poetry,Poetry Poetry Poetry General,Poetry,79 days,"Note: this publication may close early for submissions if they reach a submission quota; these early closures will not be tracked in this listing. 
 Note: one submission per reading period. We welcome all styles of writing, particularly that which is well-crafted, uses language lovingly and surprisingly, and feels daring or quietly powerful.",263,"263 Note: this publication may close early for submissions if they reach a submission quota; these early closures will not be tracked in this listing. 
 Note: one submission per reading period. We welcome all styles of writing, particularly that which is well-crafted, uses language lovingly and surprisingly, and feels daring or quietly powerful."
Ribbons - Poetry,Poetry Poetry Poetry General,Poetry,21 days,"Any tanka with a sensibility that distinguishes the form will be considered. Therefore, we welcome different syllable counts, varying individual styles and techniques, and are open to diverse yet appropriate subject material.",264,"264 Any tanka with a sensibility that distinguishes the form will be considered. Therefore, we welcome different syllable counts, varying individual styles and techniques, and are open to diverse yet appropriate subject material."
Ricochet,Short Story Short Story Short Story Western,Short Story,23 days,"Genre: We're looking for traditional Westerns. In short, that means stories set on the American frontier - stories that sound like they could have been written a century ago on that very frontier. Think ""The Lone Ranger"" or ""High Noon."" Style: We seek stories with strong, clear storytelling and, most importantly, good characters: Compelling, diverse, heroic, flawed, larger-than-life, and iconic characters!",265,"265 Genre: We're looking for traditional Westerns. In short, that means stories set on the American frontier - stories that sound like they could have been written a century ago on that very frontier. Think ""The Lone Ranger"" or ""High Noon."" Style: We seek stories with strong, clear storytelling and, most importantly, good characters: Compelling, diverse, heroic, flawed, larger-than-life, and iconic characters!"
Rising Action Publishing,"Novel Novel Novel Fantasy, Horror, Mystery/Crime, Romance, Suspense/Thriller, Humor",Novel,93 days,"Rising Action Publishing actively seeks unique, well-crafted stories across various genres, with a strong focus on diversity and representation. We are particularly interested in narratives that bring fresh voices, captivating worlds, and impactful themes to the forefront. Below are the genres and types of stories we are currently seeking. (see the site for the list)",266,"266 Rising Action Publishing actively seeks unique, well-crafted stories across various genres, with a strong focus on diversity and representation. We are particularly interested in narratives that bring fresh voices, captivating worlds, and impactful themes to the forefront. Below are the genres and types of stories we are currently seeking. (see the site for the list)"
Rivanna Review - Fiction,"Flash, Short Story Flash, Short Story Flash, Short Story General","Flash, Short Story",11 days,"Attention to metaphors, dialogue, psychology, plausibility",267,"267 Attention to metaphors, dialogue, psychology, plausibility"
River Styx - Fiction,"Flash, Short Story, Novelette, Novella Flash, Short Story, Novelette, Novella Flash, Short Story, Novelette, Novella General","Flash, Short Story, Novelette, Novella",97 days,"Thank you for your interest in River Styx. As a multicultural journal of poetry, prose and art, River Styx publishes works of both new and established artists significant for their originality, energy, and deftness of craft. The high quality of its form and content have made it a leader among literary magazines for 37 years. River Styx has been included in many editions of the Best American Poetry, Best New Poets, New Stories from the South, and Pushcart Prize anthologies. We publish poetry, short fiction, essays, interviews, drawings and photographs. If your work is the best that it can be and you deem it fits with the established style and content of our magazine, please send it to River Styx.",268,"268 Thank you for your interest in River Styx. As a multicultural journal of poetry, prose and art, River Styx publishes works of both new and established artists significant for their originality, energy, and deftness of craft. The high quality of its form and content have made it a leader among literary magazines for 37 years. River Styx has been included in many editions of the Best American Poetry, Best New Poets, New Stories from the South, and Pushcart Prize anthologies. We publish poetry, short fiction, essays, interviews, drawings and photographs. If your work is the best that it can be and you deem it fits with the established style and content of our magazine, please send it to River Styx."
River Styx - Poetry,Poetry Poetry Poetry General,Poetry,189 days,"Thank you for your interest in River Styx. As a multicultural journal of poetry, prose and art, River Styx publishes works of both new and established artists significant for their originality, energy, and deftness of craft. The high quality of its form and content have made it a leader among literary magazines for 37 years. River Styx has been included in many editions of the Best American Poetry, Best New Poets, New Stories from the South, and Pushcart Prize anthologies. We publish poetry, short fiction, essays, interviews, drawings and photographs. If your work is the best that it can be and you deem it fits with the established style and content of our magazine, please send it to River Styx.",269,"269 Thank you for your interest in River Styx. As a multicultural journal of poetry, prose and art, River Styx publishes works of both new and established artists significant for their originality, energy, and deftness of craft. The high quality of its form and content have made it a leader among literary magazines for 37 years. River Styx has been included in many editions of the Best American Poetry, Best New Poets, New Stories from the South, and Pushcart Prize anthologies. We publish poetry, short fiction, essays, interviews, drawings and photographs. If your work is the best that it can be and you deem it fits with the established style and content of our magazine, please send it to River Styx."
Riverfolk Publishing,"Novel Novel Novel Fantasy, Science Fiction",Novel,62 days,"Riverfolk Publishing is interested in reading most genres but we are particularly excited by all kinds of Fantasy, Slice of Life, GameLit, Sci-fi, Portal Fantasy/Isekai, LitRPG, and Progression.  We prefer series rather than standalones, but weÉ??re always happy to read submissions!",270,"270 Riverfolk Publishing is interested in reading most genres but we are particularly excited by all kinds of Fantasy, Slice of Life, GameLit, Sci-fi, Portal Fantasy/Isekai, LitRPG, and Progression.  We prefer series rather than standalones, but weÉ??re always happy to read submissions!"
RIZE,"Novel Novel Novel General, Action/Adventure, Fantasy, Horror, Mystery/Crime, Romance, Science Fiction, Western, Young Adult",Novel,106 days,"Limited Demographic:  writers of historically underrepresented backgrounds including, but not limited to, people of color, the LGBTQIA+ communities, Indigenous communities, people with disabilities, and any other marginalized groups 
                                                                        We are specifically looking for submissions from new and experienced non fiction and fiction writers of color?in the adult and young adult markets. We want works whose themes echo a call to action within and beyond the cultural community where each story is framed.",271,"271 Limited Demographic:  writers of historically underrepresented backgrounds including, but not limited to, people of color, the LGBTQIA+ communities, Indigenous communities, people with disabilities, and any other marginalized groups 
                                                                        We are specifically looking for submissions from new and experienced non fiction and fiction writers of color?in the adult and young adult markets. We want works whose themes echo a call to action within and beyond the cultural community where each story is framed."
Robot Butt,"Flash, Short Story, Novelette, Novella Flash, Short Story, Novelette, Novella Flash, Short Story, Novelette, Novella General, Humor","Flash, Short Story, Novelette, Novella",4 days,"Robot Butt is on a quest for comedy. Interviews, sketches, essays, stories, profiles, comics É?? like that weird rave you attended during your first weekend in college, it all flies here. DonÉ??t overthink what to submit. If youÉ??ve got something funny or anything related to comedy and, perhaps, the advancement of the human race, we want to take a look at it. We also look for content not explicitly É??comedic.É?ù From political commentary to profiles of quirky moments in pop culture history, we like to see a little bit of everything.",272,"272 Robot Butt is on a quest for comedy. Interviews, sketches, essays, stories, profiles, comics É?? like that weird rave you attended during your first weekend in college, it all flies here. DonÉ??t overthink what to submit. If youÉ??ve got something funny or anything related to comedy and, perhaps, the advancement of the human race, we want to take a look at it. We also look for content not explicitly É??comedic.É?ù From political commentary to profiles of quirky moments in pop culture history, we like to see a little bit of everything."
Roi Fain??ant Press - Fiction,"Flash, Short Story, Novelette, Novella Flash, Short Story, Novelette, Novella Flash, Short Story, Novelette, Novella General, Horror, Science Fiction, Humor, Literary","Flash, Short Story, Novelette, Novella",69 days,Literary short fiction Humor/satire pieces Horror/science fiction,273,273 Literary short fiction Humor/satire pieces Horror/science fiction
Room Magazine - Fiction,"Flash, Short Story Flash, Short Story Flash, Short Story General","Flash, Short Story",91 days,"Limited Demographic:  women (cisgender and transgender), transgender men, Two-Spirit and nonbinary people 
                                                                        Room is CanadaÉ??s oldest literary journal by, for, and about women. Published quarterly by a group of volunteers based in Vancouver, Room showcases fiction, poetry, reviews, art work, interviews and profiles about the female experience.",274,"274 Limited Demographic:  women (cisgender and transgender), transgender men, Two-Spirit and nonbinary people 
                                                                        Room is CanadaÉ??s oldest literary journal by, for, and about women. Published quarterly by a group of volunteers based in Vancouver, Room showcases fiction, poetry, reviews, art work, interviews and profiles about the female experience."
Room Magazine - Poetry,Poetry Poetry Poetry General,Poetry,62 days,"Limited Demographic:  women (cisgender and transgender), transgender men, Two-Spirit and nonbinary people 
                                                                        Room is CanadaÉ??s oldest literary journal by, for, and about women. Published quarterly by a group of volunteers based in Vancouver, Room showcases fiction, poetry, reviews, art work, interviews and profiles about the female experience.",276,"276 Limited Demographic:  women (cisgender and transgender), transgender men, Two-Spirit and nonbinary people 
                                                                        Room is CanadaÉ??s oldest literary journal by, for, and about women. Published quarterly by a group of volunteers based in Vancouver, Room showcases fiction, poetry, reviews, art work, interviews and profiles about the female experience."
Rowan Prose,"Novel Novel Novel Fantasy, Horror, Mystery/Crime, Romance, Suspense/Thriller, Young Adult",Novel,29 days,"What We Publish: Most sub-genres of Romance Cozy Mysteries Thrillers Horror Paranormal Lit YA (if it has paranormal , horror, or romance elements) What We'll Consider: Fantasy (on a case-by-case basis) Women's Fiction",277,"277 What We Publish: Most sub-genres of Romance Cozy Mysteries Thrillers Horror Paranormal Lit YA (if it has paranormal , horror, or romance elements) What We'll Consider: Fantasy (on a case-by-case basis) Women's Fiction"
Ruadan Books (Ruad?≠n Books),"Novel Novel Novel Fantasy, Horror, Mystery/Crime, Science Fiction",Novel,45 days,"Note: remove identifying information from manuscript for anonymous judging. 
                                                Ruad?≠n editors want dark speculative fiction stories, crime noir stories, and genre-bending tales that explore the darkness in all of us. We expect deeply flawed characters, sweeping settings, and gritty detective work. I",278,"278 Note: remove identifying information from manuscript for anonymous judging. 
                                                Ruad?≠n editors want dark speculative fiction stories, crime noir stories, and genre-bending tales that explore the darkness in all of us. We expect deeply flawed characters, sweeping settings, and gritty detective work. I"
Running Wild Press - Fiction,Novel Novel Novel General,Novel,88 days,We are looking for great stories with great writing that donÉ??t fit neatly in a box É?? cross genre.,279,279 We are looking for great stories with great writing that donÉ??t fit neatly in a box É?? cross genre.
Rural Fiction Magazine,"Flash, Short Story Flash, Short Story Flash, Short Story General, Action/Adventure, Fantasy, Horror, Mystery/Crime, Suspense/Thriller, Western","Flash, Short Story",38 days,"Rural Fiction Magazine (RFM) is seeking high-quality fiction and poetry that explores the beauty and drama of rural life. RFM is willing to look at any genre (horror, fantasy, noir, mystery, western, thriller, adventure, etc.) so long as it has a rural setting and addresses topics or themes of interest to people in rural areas. As someone once said, all stories are ultimately about people, genre is secondary. Submissions can be stories involving hunting, fishing, farming, wildlife, farm animals, camping, small town politics, working in the outdoors, or anything that would interest people in a rural community, but ultimately the stories must be about people.",280,"280 Rural Fiction Magazine (RFM) is seeking high-quality fiction and poetry that explores the beauty and drama of rural life. RFM is willing to look at any genre (horror, fantasy, noir, mystery, western, thriller, adventure, etc.) so long as it has a rural setting and addresses topics or themes of interest to people in rural areas. As someone once said, all stories are ultimately about people, genre is secondary. Submissions can be stories involving hunting, fishing, farming, wildlife, farm animals, camping, small town politics, working in the outdoors, or anything that would interest people in a rural community, but ultimately the stories must be about people."
Taco Bell Quarterly - Fiction,"Flash, Short Story Flash, Short Story Flash, Short Story General, Fantasy, Literary","Flash, Short Story",391 days,"Taco Bell Quarterly seeks literary/creative essays, short stories, fiction/prose, poems, comics, art, one act plays, fever dreams, multimedia, stupid status updates, criticisms, manifestos, recipes and anything else that explore any and all elements of Taco Bell. Or not. Shoehorn a chalupa in your short story. Maybe we?ll love it. An elegy for the discontinued menu items? Fine. An experimental essay about marine biology and the XXL Grilled Stuft Burrito? Awesome. Review the new Beefy Fritos Burrito and how it reminds you of the time your grandma died? We want it.  Something that  introduces us to inventive form, dynamic language, and strong voice. Or perhaps it does none of the above. We?re not judgey and pretentious. We?re the Taco Bell fucking Quarterly. We lean towards pieces that are queer and center their pain/joy in a Taco Bell.",281,"281 Taco Bell Quarterly seeks literary/creative essays, short stories, fiction/prose, poems, comics, art, one act plays, fever dreams, multimedia, stupid status updates, criticisms, manifestos, recipes and anything else that explore any and all elements of Taco Bell. Or not. Shoehorn a chalupa in your short story. Maybe we?ll love it. An elegy for the discontinued menu items? Fine. An experimental essay about marine biology and the XXL Grilled Stuft Burrito? Awesome. Review the new Beefy Fritos Burrito and how it reminds you of the time your grandma died? We want it.  Something that  introduces us to inventive form, dynamic language, and strong voice. Or perhaps it does none of the above. We?re not judgey and pretentious. We?re the Taco Bell fucking Quarterly. We lean towards pieces that are queer and center their pain/joy in a Taco Bell."
Taco Bell Quarterly - Poetry,"Poetry Poetry Poetry General, Fantasy, Literary",Poetry,412 days,"Taco Bell Quarterly seeks literary/creative essays, short stories, fiction/prose, poems, comics, art, one act plays, fever dreams, multimedia, stupid status updates, criticisms, manifestos, recipes and anything else that explore any and all elements of Taco Bell. Or not. Shoehorn a chalupa in your short story. Maybe we?ll love it. An elegy for the discontinued menu items? Fine. An experimental essay about marine biology and the XXL Grilled Stuft Burrito? Awesome. Review the new Beefy Fritos Burrito and how it reminds you of the time your grandma died? We want it.  Something that  introduces us to inventive form, dynamic language, and strong voice. Or perhaps it does none of the above. We?re not judgey and pretentious. We?re the Taco Bell fucking Quarterly. We lean towards pieces that are queer and center their pain/joy in a Taco Bell.",283,"283 Taco Bell Quarterly seeks literary/creative essays, short stories, fiction/prose, poems, comics, art, one act plays, fever dreams, multimedia, stupid status updates, criticisms, manifestos, recipes and anything else that explore any and all elements of Taco Bell. Or not. Shoehorn a chalupa in your short story. Maybe we?ll love it. An elegy for the discontinued menu items? Fine. An experimental essay about marine biology and the XXL Grilled Stuft Burrito? Awesome. Review the new Beefy Fritos Burrito and how it reminds you of the time your grandma died? We want it.  Something that  introduces us to inventive form, dynamic language, and strong voice. Or perhaps it does none of the above. We?re not judgey and pretentious. We?re the Taco Bell fucking Quarterly. We lean towards pieces that are queer and center their pain/joy in a Taco Bell."
Tadpole Press 100-word Writing Contest - Fiction,Flash Flash Flash General,Flash,9 days,"Note: submissions are taken on a rolling basis, so immediately after a submission deadline they are accepting submissions for the next window. Pieces will be judged on creativity, uniqueness, and how the story captures a new angle, breaks through stereotypes, and expands our beliefs about what's possible or unexpectedly delights us. In addition, we are looking for clever or unique writing that inspires us and crafts a compelling and complete story. The winning submissions will be nonviolent. You may deal with tough themes, but you must move on from there. DonÉ??t dwell in misery. Show growth. If you're going to write about something painful, show how someone was transformed by the experience. Go for something that pulls on our heartstrings rather than breaks our hearts.",284,"284 Note: submissions are taken on a rolling basis, so immediately after a submission deadline they are accepting submissions for the next window. Pieces will be judged on creativity, uniqueness, and how the story captures a new angle, breaks through stereotypes, and expands our beliefs about what's possible or unexpectedly delights us. In addition, we are looking for clever or unique writing that inspires us and crafts a compelling and complete story. The winning submissions will be nonviolent. You may deal with tough themes, but you must move on from there. DonÉ??t dwell in misery. Show growth. If you're going to write about something painful, show how someone was transformed by the experience. Go for something that pulls on our heartstrings rather than breaks our hearts."
Takahe Magazine - Fiction,"Flash, Short Story Flash, Short Story Flash, Short Story General","Flash, Short Story",125 days,"Note: Work can be in English, or in te reo Maori with English translation. Founded in 1989, takahe exists to foster and promote art and literature that represents the diverse voices of Aotearoa New Zealand within the global context.",285,"285 Note: Work can be in English, or in te reo Maori with English translation. Founded in 1989, takahe exists to foster and promote art and literature that represents the diverse voices of Aotearoa New Zealand within the global context."
Tales To Terrify (Flash),"Flash, Short Story Flash, Short Story Flash, Short Story Fantasy, Horror","Flash, Short Story",20 days,"We encourage you to challenge the definition of horror. Standard tropes and monsters are welcome, but give us your own unique take. Avoid the cliche and expected, unless as devices used purposefully and cleverly to further your story. Drag us deep into the unsettling atmosphere of a crumbling Gothic mansion. Show us the gritty, real-world horrors of evil people with dark intentions. Make our blood run cold and our breath catch in our throats as weÉ??re hunted by ravenous creatures. Unhinge our minds with reality-bending, psychological horrors. Make us feel the pain and sorrow of a long-suffering spirit.",286,"286 We encourage you to challenge the definition of horror. Standard tropes and monsters are welcome, but give us your own unique take. Avoid the cliche and expected, unless as devices used purposefully and cleverly to further your story. Drag us deep into the unsettling atmosphere of a crumbling Gothic mansion. Show us the gritty, real-world horrors of evil people with dark intentions. Make our blood run cold and our breath catch in our throats as weÉ??re hunted by ravenous creatures. Unhinge our minds with reality-bending, psychological horrors. Make us feel the pain and sorrow of a long-suffering spirit."
Tales to Terrify (Short Stories),"Short Story, Novelette Short Story, Novelette Short Story, Novelette Fantasy, Horror","Short Story, Novelette",28 days,"We encourage you to challenge the definition of horror. Standard tropes and monsters are welcome, but give us your own unique take. Avoid the cliche and expected, unless as devices used purposefully and cleverly to further your story. Drag us deep into the unsettling atmosphere of a crumbling Gothic mansion. Show us the gritty, real-world horrors of evil people with dark intentions. Make our blood run cold and our breath catch in our throats as weÉ??re hunted by ravenous creatures. Unhinge our minds with reality-bending, psychological horrors. Make us feel the pain and sorrow of a long-suffering spirit.",287,"287 We encourage you to challenge the definition of horror. Standard tropes and monsters are welcome, but give us your own unique take. Avoid the cliche and expected, unless as devices used purposefully and cleverly to further your story. Drag us deep into the unsettling atmosphere of a crumbling Gothic mansion. Show us the gritty, real-world horrors of evil people with dark intentions. Make our blood run cold and our breath catch in our throats as weÉ??re hunted by ravenous creatures. Unhinge our minds with reality-bending, psychological horrors. Make us feel the pain and sorrow of a long-suffering spirit."
Tall Tale TV,"Short Story Short Story Short Story Fantasy, Science Fiction",Short Story,317 days,"Note: payment only rendered via PayPal. Science Fiction and Fantasy. ThatÉ??s what IÉ??m looking for. This includes all forms of these genres. From Lord of the Rings to Star Wars. Indiana Jones to X-Files. As long as it has some aspect of sci-fi, fantasy or high adventure that breaks reality it should be good.",288,"288 Note: payment only rendered via PayPal. Science Fiction and Fantasy. ThatÉ??s what IÉ??m looking for. This includes all forms of these genres. From Lord of the Rings to Star Wars. Indiana Jones to X-Files. As long as it has some aspect of sci-fi, fantasy or high adventure that breaks reality it should be good."
Tamarind Literary Magazine,"Short Story Short Story Short Story General, Science Fiction, Historical",Short Story,36 days,"Note: remove identifying information from manuscript for anonymous judging. 
                                                Our only requirement is that the pieces relate to science, scientists, or the interaction of science and society. We welcome stories that look creatively at science and the philosophy of science. We have a particular interest in writing which reflects on science as an artistic and emotional endeavour, or about forgotten, marginalised, or currently underrepresented scientists. Although our core interest is in natural sciences, we will also consider pieces involving related areas such as medicine, engineering, technology, and social sciences.",289,"289 Note: remove identifying information from manuscript for anonymous judging. 
                                                Our only requirement is that the pieces relate to science, scientists, or the interaction of science and society. We welcome stories that look creatively at science and the philosophy of science. We have a particular interest in writing which reflects on science as an artistic and emotional endeavour, or about forgotten, marginalised, or currently underrepresented scientists. Although our core interest is in natural sciences, we will also consider pieces involving related areas such as medicine, engineering, technology, and social sciences."
Tannhauser Press - Fiction,"Novel, Story Collection Novel, Story Collection Novel, Story Collection Fantasy, Science Fiction","Novel, Story Collection",27 days,"Limited Demographic:  emerging and midcareer authors 
                                                                        Tannhauser Press focuses on speculative fiction novels, full-length short story collections, poetry, creative nonfiction, book-length essays and essay collections, and the occasional memoir and anthology.",290,"290 Limited Demographic:  emerging and midcareer authors 
                                                                        Tannhauser Press focuses on speculative fiction novels, full-length short story collections, poetry, creative nonfiction, book-length essays and essay collections, and the occasional memoir and anthology."
Teach. Write. - Fiction,"Flash, Short Story Flash, Short Story Flash, Short Story General","Flash, Short Story",57 days,"any theme or genre except erotica, extremely violent pieces or those laden with profanity.",291,"291 any theme or genre except erotica, extremely violent pieces or those laden with profanity."
Teach. Write. - Poetry,Poetry Poetry Poetry General,Poetry,38 days,"any theme or genre except erotica, extremely violent pieces or those laden with profanity.",292,"292 any theme or genre except erotica, extremely violent pieces or those laden with profanity."
Teen Screams Anthology Series,"Short Story, Novelette Short Story, Novelette Short Story, Novelette Horror, Young Adult","Short Story, Novelette",32 days,"This anthology series will focus on the older side of Young Adult horror and highlight the social settings of teenagers in modern-day living. Sex, drugs, and F-Bombs are allowed (well, more so required). Fear Street movies are an example of accepted horror as well as other horror movies that feature people under the age of 18 as the main characters. The Midnight Club miniseries, The Faculty, Ginger Snaps, Final Destination, Scream, and all your classic teenage horror-themed movies are the types of stories this anthology is looking for. We want all the normal things in horror, just no elaborate descriptions or erotica. (Reference movies in the genre for quick tips).",293,"293 This anthology series will focus on the older side of Young Adult horror and highlight the social settings of teenagers in modern-day living. Sex, drugs, and F-Bombs are allowed (well, more so required). Fear Street movies are an example of accepted horror as well as other horror movies that feature people under the age of 18 as the main characters. The Midnight Club miniseries, The Faculty, Ginger Snaps, Final Destination, Scream, and all your classic teenage horror-themed movies are the types of stories this anthology is looking for. We want all the normal things in horror, just no elaborate descriptions or erotica. (Reference movies in the genre for quick tips)."
The /temz/  Review - Fiction,"Flash, Short Story, Novelette Flash, Short Story, Novelette Flash, Short Story, Novelette General","Flash, Short Story, Novelette",61 days,"Our preference is for the strange, the experimental and the boundary-pushing, but we are open to a wide range of styles and voices.",294,"294 Our preference is for the strange, the experimental and the boundary-pushing, but we are open to a wide range of styles and voices."
The /temz/  Review - Poetry,Poetry Poetry Poetry General,Poetry,76 days,"Note: only one submission per reading period. Our preference is for innovative verse that pushes the boundaries of poetry, but we are open to a wide range of styles and voices.",296,"296 Note: only one submission per reading period. Our preference is for innovative verse that pushes the boundaries of poetry, but we are open to a wide range of styles and voices."
The 2River View,Poetry Poetry Poetry General,Poetry,10 days,"Note: submit only once per reading period. Note: if accepted, be prepared to submit a recording of you reading your poems. No description available.",297,"297 Note: submit only once per reading period. Note: if accepted, be prepared to submit a recording of you reading your poems. No description available."
The Account - Poetry,Poetry Poetry Poetry General,Poetry,89 days,"Note: this publication may close early for submissions if they reach a submission quota; these early closures will not be tracked in this listing. 
 Note: do not submit more than once per reading period. We are open to a diverse range of styles, including experimental and hybrid work.",298,"298 Note: this publication may close early for submissions if they reach a submission quota; these early closures will not be tracked in this listing. 
 Note: do not submit more than once per reading period. We are open to a diverse range of styles, including experimental and hybrid work."
The Apple Valley Review - Fiction,"Flash, Short Story Flash, Short Story Flash, Short Story General, Literary","Flash, Short Story",23 days,"We prefer work that has both mainstream and literary appeal.  In other words, please send us work that is both accessible and finely written.",301,"301 We prefer work that has both mainstream and literary appeal.  In other words, please send us work that is both accessible and finely written."
The Apple Valley Review - Poetry,"Poetry Poetry Poetry General, Literary",Poetry,22 days,"We prefer work that has both mainstream and literary appeal.  In other words, please send us work that is both accessible and finely written. There are no length limits, but preference is given to short (under two pages), non-rhyming poetry.",303,"303 We prefer work that has both mainstream and literary appeal.  In other words, please send us work that is both accessible and finely written. There are no length limits, but preference is given to short (under two pages), non-rhyming poetry."
